year,topic,career_phase,institution,publication_count,major,publication,title
2007,Methods,Comparative genomics,MIPS / Munich,1,False,pauly2007hydra,"Proteomic screen in the simple metazoan Hydra identifies 14-3-3 binding proteins implicated in cellular metabolism, cytoskeletal organisation and Ca2+ signalling"
2007,Genome Resources; Transcriptomics; Methods,Comparative genomics,MIPS / Munich,1,False,rotter2007bentgrass,Analysis of EST sequences suggests recent origin of allotetraploid colonial and creeping bentgrasses
2008,Genome Resources; Methods,Applied transcriptomics,International collaborations,1,False,grasso2008coral,Microarray analysis identifies candidate genes for key roles in coral development
2009,Genome Resources; Comparative Genomics; Plant Genomics,Applied transcriptomics,International collaborations,1,False,hackauf2009rye,Comparative mapping of DNA sequences in rye (Secale cereale L.) in relation to the rice genome
2009,Transcriptomics; Methods; Resources,Applied transcriptomics,International collaborations,1,False,junttila2009rna,Optimization and comparison of different methods for RNA isolation for cDNA library construction from the reindeer lichen Cladonia rangiferina
2012,Genome Resources; Transcriptomics; Cancer Genomics; Clinical Genomics,Applied transcriptomics,International collaborations,1,False,gunaletchumy2012,"Draft genome sequences of Helicobacter pylori isolates from Malaysia, cultured from patients with functional dyspepsia and gastric cancer"
2012,Genome Resources; Transcriptomics,Applied transcriptomics,International collaborations,1,False,junttila2012lichen,"Characterization of a transcriptome from a non-model organism, Cladonia rangiferina, the grey reindeer lichen, using high-throughput next generation sequencing and EST sequence data"
2013,Genome Resources; Transcriptomics,Applied transcriptomics,International collaborations,1,False,junttila2013dehydration,"Whole transcriptome characterization of the effects of dehydration and rehydration on Cladonia rangiferina, the grey reindeer lichen"
2014,Transcriptomics,Clinical and data science,Australia / industry,1,False,melian2014westnile,Programmed ribosomal frameshift alters expression of West Nile virus genes and facilitates virus replication in birds and mosquitoes
2016,Cancer Genomics; Clinical Genomics,Clinical and data science,Australia / industry,1,False,derienzo2016mesothelioma,Gender-specific molecular and clinical features underlie malignant pleural mesothelioma
2016,Clinical Genomics,Clinical and data science,Australia / industry,1,False,wise2016stemcells,Human mesenchymal stem cells alter the gene profile of monocytes from patients with type 2 diabetes and end-stage renal disease
2017,Genome Resources; Transcriptomics; Plant Genomics; Bioinformatics Infrastructure; Reviews; Resources,Clinical and data science,Australia / industry,1,True,schmutzer2017plant,"Bioinformatics in the plant genomic and phenomic domain: the German contribution to resources, services and perspectives"
2018,Genome Resources; Metagenomics; Bioinformatics Infrastructure; Methods; Machine Learning,Clinical and data science,Australia / industry,1,True,chappell2018,Rapid analysis of metagenomic data using signature-based clustering
2018,Transcriptomics; Clinical Genomics,Clinical and data science,Australia / industry,1,False,lee2018intellectual,Gene networks associated with non-syndromic intellectual disability
